Station,Example Station
Latitude,-35.31
Longitude,148.06
1969-08-01,52.3
1969-09-01,90.3
1969-10-01,88.4
1969-11-01,75.1
1969-12-01,21.1
1970-01-01,85.5
1970-02-01,31.2
1970-03-01,54
1970-04-01,125.2
1970-05-01,74.7
1970-06-01,59.3
1970-07-01,41.5
1970-08-01,140.3
1970-09-01,190.1
1970-10-01,60.5
1970-11-01,133.3
1970-12-01,82
1971-01-01,85.7
1971-02-01,66.3
1971-03-01,30.8
1971-04-01,77
1971-05-01,87.7
1971-06-01,39.9
1971-07-01,59.2
1971-08-01,94.3
1971-09-01,50.4
1971-10-01,75.6
1971-11-01,102.7
1971-12-01,83.4
1972-01-01,142.4
1972-02-01,87.2
1972-03-01,21.9
1972-04-01,37.1
1972-05-01,45.1
1972-06-01,14.7
1972-07-01,60.7
1972-08-01,135.1
1972-09-01,24.7
1972-10-01,48.9
1972-11-01,41.6
1972-12-01,5.1
1973-01-01,56.9
1973-02-01,120.9
1973-03-01,53
1973-04-01,46.6
1973-05-01,63.5
1973-06-01,118.5
1973-07-01,117.5
1973-08-01,93.8
1973-09-01,70.1
1973-10-01,167.8
1973-11-01,72.4
1973-12-01,102.4
1974-01-01,134.5
1974-02-01,45.4
1974-03-01,39
1974-04-01,280.8
1974-05-01,66.2
1974-06-01,24.2
1974-07-01,148.1
1974-08-01,144.2
1974-09-01,121.1
1974-10-01,233.6
1974-11-01,73
1974-12-01,4.6
1975-01-01,40.8
1975-02-01,77.2
1975-03-01,68.2
1975-04-01,32.2
1975-05-01,61.6
1975-06-01,26.3
1975-07-01,113.6
1975-08-01,153.8
1975-09-01,98.4
1975-10-01,216
1975-11-01,13.6
1975-12-01,95
1976-01-01,47.5
1976-02-01,35
1976-03-01,12
1976-04-01,24.8
1976-05-01,12
1976-06-01,22.1
1976-07-01,33.2
1976-08-01,29.6
1976-09-01,112.1
1976-10-01,168.2
1976-11-01,39.8
1976-12-01,19.4
1977-01-01,30.4
1977-02-01,55.6
1977-03-01,88.7
1977-04-01,32.8
1977-05-01,94.8
1977-06-01,109.1
1977-07-01,34.8
1977-08-01,23.6
1977-09-01,61
1977-10-01,8.4
1977-11-01,15.7
1977-12-01,9.2
1978-01-01,115.4
1978-02-01,3.2
1978-03-01,63.3
1978-04-01,42.5
1978-05-01,162.6
1978-06-01,77.6
1978-07-01,107.7
1978-08-01,71.8
1978-09-01,148.9
1978-10-01,66
1978-11-01,104.2
1978-12-01,72.4
1979-01-01,19.2
1979-02-01,11.4
1979-03-01,27.2
1979-04-01,100.1
1979-05-01,57.7
1979-06-01,19.8
1979-07-01,16.5
1979-08-01,83.2
1979-09-01,115.2
1979-10-01,102.6
1979-11-01,45.3
1979-12-01,0.7
1980-01-01,54.4
1980-02-01,13.2
1980-03-01,29
1980-04-01,23.9
1980-05-01,102.4
